"FIELD_3","FIELD_4","FIELD_5","FIELD_12","FIELD_13","FIELD_14","FIELD_21","FIELD_22","FIELD_23","FIELD_30","FIELD_31","FIELD_32","FIELD_40"
"0.296000004","0.184","0.259000003","0.270000011","0.219999999","0.250999987","29.107999802","29.195999146","29.173999786","30.725999832","29.704000473","30.604999542","67.324325081"
"0.254000008","0.174999997","0.211999997","0.284000009","0.252000004","0.312000006","29.090000153","29.13999939","29.038000107","30.73800087","29.75","30.790000916","66.01544702"
"0.287999988","0.196999997","0.246999994","0.256999999","0.219999999","0.256000012","29.066999435","29.108999252","29.094999313","30.788000107","29.777000427","30.690999985","66.916722943"
"0.270999998","0.188999996","0.225999996","0.270000011","0.243000001","0.298000008","29.038999557","29.034999847","28.922000885","30.736000061","29.781000137","30.854999542","66.110888578"
"0.298999995","0.200000003","0.263999999","0.263999999","0.226999998","0.261999995","29.020000458","29.048000336","28.969999313","30.797000885","29.819000244","30.809999466","66.710422194"
"0.280000001","0.195999995","0.246999994","0.252999991","0.233999997","0.280000001","29.086999893","29.072999954","28.961000443","30.726999283","29.767999649","30.819000244","65.766442867"
"0.275999993","0.192000002","0.248999998","0.26699999","0.232999995","0.282000005","29.131999969","29.159999847","29.062999725","30.711999893","29.7310009","30.714000702","65.943294898"
"0.279000014","0.197999999","0.256000012","0.254999995","0.226999998","0.250999987","29.031000137","29.027999878","28.908000946","30.783000946","29.826000214","30.87100029","66.445430052"
"0.287999988","0.203999996","0.280000001","0.256000012","0.225999996","0.254999995","29.080999374","29.048999786","28.958999634","30.7310009","29.7689991","30.771999359","65.850232042"
"0.284999996","0.197999999","0.25999999","0.263999999","0.230000004","0.261999995","29.083999634","29.11400032","29.059000015","30.701999664","29.715999603","30.690000534","66.417612075"
"0.289999992","0.191","0.236000001","0.272000015","0.243000001","0.298999995","29.068000793","29.065000534","28.937000275","30.749000549","29.798000336","30.858999252","66.395820031"
"0.294999987","0.202000007","0.270000011","0.247999996","0.221000001","0.257999986","28.990999222","29.024000168","28.989999771","30.763000488","29.781999588","30.736000061","66.038152179"
"0.264999986","0.187999994","0.246999994","0.259000003","0.231999993","0.26699999","29.031999588","29.082000732","28.989999771","30.75799942","29.795000076","30.7689991","65.898491264"
"0.294999987","0.201000005","0.256999999","0.261000007","0.228","0.254999995","28.993999481","29.034000397","28.98900032","30.815999985","29.813999176","30.749000549","66.954575826"
"0.280999988","0.188999996","0.240999997","0.272000015","0.233999997","0.282000005","29.066999435","29.13699913","29.077999115","30.716999054","29.715000153","30.708999634","66.505003366"
"0.25","0.175999999","0.224999994","0.282000005","0.257999986","0.317000002","29.041000366","29.01499939","28.836000443","30.74600029","29.820999146","30.961999893","65.26392601"
"0.282000005","0.203999996","0.26699999","0.257999986","0.222000003","0.256000012","28.999000549","29.020000458","28.938999176","30.799999237","29.850000381","30.827999115","66.108797532"
"0.264999986","0.186000004","0.229000002","0.263000011","0.241999999","0.294","29.072000504","29.101999283","28.98900032","30.714000702","29.740999222","30.805999756","65.737660433"
"0.305000007","0.202999994","0.289999992","0.237000003","0.222000003","0.261999995","28.978000641","29.006000519","28.934000015","30.812999725","29.872999191","30.829000473","65.250165335"
"0.275999993","0.181999996","0.238000005","0.266000003","0.237000003","0.294","29.048000336","29.118999481","29.089000702","30.718000412","29.684999466","30.673999786","65.876088112"
"0.277999997","0.192000002","0.250999987","0.259000003","0.230000004","0.26699999","29.079999924","29.125999451","29.059000015","30.736000061","29.767000198","30.7310009","66.176033271"
"0.289999992","0.201000005","0.25999999","0.244000003","0.224000007","0.27700001","29.041999817","29.090000153","29.056999207","30.756000519","29.745000839","30.680999756","65.473930304"
"0.264999986","0.191","0.239999995","0.275999993","0.248999998","0.289999992","29.056999207","29.075000763","28.964000702","30.75","29.792999268","30.843999863","65.924553062"
"0.273999989","0.194999993","0.272000015","0.256000012","0.223000005","0.263000011","29.023000717","29.056999207","29.01199913","30.773000717","29.773000717","30.732999802","65.405258806"
"0.301999986","0.203999996","0.272000015","0.259000003","0.236000001","0.282999992","29.083000183","29.121999741","29.042999268","30.711000443","29.73500061","30.725999832","65.746786099"
"0.294","0.202000007","0.279000014","0.254000008","0.221000001","0.25999999","29.013999939","29.048000336","28.975999832","30.777999878","29.806999207","30.794000626","65.840397454"
"0.27700001","0.197999999","0.261000007","0.268000007","0.237000003","0.291000009","29.047000885","29.048999786","28.943000793","30.712999344","29.75399971","30.802999496","65.353133176"
"0.287999988","0.194999993","0.268000007","0.263000011","0.231999993","0.275000006","28.990999222","28.959999084","28.850000381","30.756000519","29.830999374","30.905000687","65.808678064"
